YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1993,3.23,5.69,8.93,10.27,15.32,15.82,16.16,18.57,16.55,12.62,5.17,4.85,4.22,11.51,16.85,11.45,11.01
1994,6.78,4.30,8.81,10.92,14.16,15.51,19.57,19.26,17.60,11.19,5.40,5.06,5.31,11.30,18.11,11.40,11.53
1995,7.62,7.37,8.43,10.61,15.25,16.70,19.09,16.82,17.42,11.01,9.14,5.42,6.68,11.43,17.54,12.52,12.04
1996,3.91,5.83,8.11,10.49,11.35,15.44,19.55,18.77,14.75,10.83,6.40,4.24,5.05,9.98,17.92,10.66,10.90
1997,5.26,5.71,7.30,9.75,14.74,15.45,18.23,20.06,16.98,10.94,9.33,5.49,5.07,10.60,17.91,12.42,11.50
1998,5.87,7.83,8.32,10.42,12.89,15.70,19.98,19.52,17.52,11.66,8.36,4.61,6.40,10.54,18.40,12.51,11.96
1999,5.76,6.06,7.05,9.40,11.24,14.74,17.12,18.43,16.22,11.41,9.06,5.76,5.48,9.23,16.76,12.23,10.93
2000,4.82,6.71,7.15,10.72,12.35,16.10,18.16,17.70,15.88,11.78,6.03,5.08,5.76,10.07,17.32,11.23,11.10
2001,5.78,5.04,7.67,9.10,13.21,14.44,17.14,18.45,15.66,10.73,8.38,5.50,5.30,9.99,16.68,11.59,10.89
2002,5.09,5.70,5.71,9.54,11.91,16.39,18.54,18.68,16.11,11.01,8.59,6.36,5.43,9.05,17.87,11.90,11.06
2003,7.88,5.58,8.47,9.62,12.91,17.36,20.15,19.34,17.24,12.59,6.26,5.65,6.61,10.33,18.95,12.03,11.98
2004,4.84,7.17,8.91,12.07,14.11,17.66,20.32,19.73,15.15,12.07,7.45,6.08,5.89,11.70,19.24,11.56,12.09
2005,5.87,6.13,9.73,10.67,14.82,15.77,18.89,19.56,15.53,12.47,6.31,5.73,6.03,11.74,18.07,11.44,11.82
2006,7.91,5.88,7.32,9.98,13.59,17.09,19.54,18.66,16.64,11.07,6.56,4.58,6.51,10.30,18.43,11.42,11.66
2007,3.14,6.28,8.22,10.16,13.46,15.55,19.68,18.47,15.32,10.11,6.66,4.15,4.67,10.61,17.90,10.70,10.97
2008,3.55,6.46,6.21,8.16,13.23,14.47,18.11,18.65,15.93,10.74,9.36,2.55,4.72,9.20,17.08,12.01,10.75
2009,3.74,5.18,5.21,9.37,13.30,17.47,20.63,18.48,16.71,11.08,7.94,3.11,3.82,9.29,18.86,11.91,10.97
2010,8.15,8.04,8.19,9.55,11.61,14.46,17.92,18.38,15.88,11.67,6.03,6.03,6.43,9.78,16.92,11.19,11.08
2011,5.27,3.86,7.15,7.36,11.13,15.05,17.70,18.63,17.60,11.05,5.97,3.83,5.05,8.55,17.13,11.54,10.57
2012,4.14,6.09,6.04,10.28,12.77,14.43,17.77,19.78,16.91,11.95,8.13,5.11,4.69,9.70,17.33,12.33,11.01
2013,3.30,6.35,8.30,9.93,14.23,17.66,19.47,20.26,16.93,10.39,8.28,3.76,4.92,10.82,19.13,11.87,11.68
2014,6.32,4.89,8.64,10.56,14.51,16.14,20.13,20.10,17.66,13.88,7.24,6.84,4.99,11.24,18.79,12.93,11.99
2015,6.71,8.77,9.75,10.23,14.55,19.32,21.27,19.87,15.32,13.47,6.07,5.58,7.44,11.51,20.15,11.62,12.68
2016,5.98,8.03,9.13,13.18,14.93,16.98,18.78,19.88,15.73,12.18,9.98,2.88,6.53,12.41,18.55,12.63,12.53
2017,2.78,4.63,7.33,9.83,13.88,16.68,19.08,20.73,17.63,11.28,7.63,3.94,3.43,10.35,18.83,12.18,11.20
2018,6.69,4.59,7.28,10.08,15.48,16.38,20.78,19.78,16.18,11.38,8.53,6.08,5.07,10.95,18.98,12.03,11.76
2019,6.53,1.93,8.48,10.68,15.18,16.93,19.03,19.93,16.43,9.78,7.43,6.29,4.85,11.45,18.63,11.21,11.53
2020,6.59,5.79,6.44,10.64,14.49,15.94,18.79,19.29,17.94,11.69,7.29,6.24,6.22,10.52,18.01,12.31,11.76
2021,5.89,4.59,6.89,10.99,13.14,18.93,19.98,19.73,16.58,10.98,8.78,3.34,5.57,10.34,19.55,12.11,11.89
2022,4.99,5.59,8.29,8.34,11.44,16.19,20.54,21.09,18.24,14.24,5.54,3.79,4.64,9.36,19.27,12.67,11.49
2023,6.39,4.84,6.94,9.19,16.04,16.64,20.29,21.04,16.69,12.49,7.14,7.50,5.01,10.72,19.32,12.11,11.79
2024,5.30,6.80,8.45,10.10,13.10,16.10,21.00,19.20,17.00,12.20,7.80,6.80,6.53,10.55,18.77,12.33,12.05
2025,4.00,4.70,8.37,11.17,13.88,17.25,999.90,999.90,999.90,999.90,999.90,999.90,5.17,11.14,999.90,999.90,999.90
